X,Y,ZipCode
37.7626683234575,-122.432125446252,94114
37.7911165972854,-122.416773563916,94109
37.7111583324271,-122.443586327721,94112
37.7854659679151,-122.405582629186,94103
37.7811024494313,-122.411851096887,94102
37.7768378928452,-122.42377164009,94102
37.7874280909002,-122.409932262832,94102
37.7115310470391,-122.455831403434,94112
37.731574375139,-122.499055534823,94132
37.7889536872317,-122.417841550946,94109
37.7605758210748,-122.407569296775,94110
37.7999805875798,-122.413322238558,94133
37.7897894219545,-122.411259228464,94108
37.7401220519696,-122.428737365129,94131
37.733437548685,-122.451095678133,94127
37.7645958386884,-122.444037176397,94117
37.7354008336081,-122.45067626133,94127
37.7269948585624,-122.414196713255,94134
37.7759949448229,-122.454840572718,94118
37.8005458602045,-122.415947162599,94133
37.7962197994734,-122.427742014075,94123
37.7797638596814,-122.437896542212,94115
37.7505982285926,-122.402883061433,94107
37.7255200709122,-122.427684046772,94112
37.743349920199,-122.489753101045,94116
37.7425302081703,-122.487474767764,94116
37.7216857858204,-122.463581184435,94132
37.7926402109741,-122.404420631886,94108
37.7409841839094,-122.418835589668,94110
37.8023030310155,-122.40956367303,94133
37.7507718949493,-122.416109699284,94110
37.7384168231573,-122.415227305945,94110
37.763010862861,-122.488380657692,94122
37.7250386948559,-122.418385045405,94134
37.7673561058524,-122.452331290923,94117
37.7677761127695,-122.427273432557,94114
37.7523735149599,-122.416268632715,94110
37.764332281468,-122.421110430393,94110
37.7235077223686,-122.468182911141,94127
37.7660754132495,-122.402687653221,94103
37.7121785282327,-122.418575536868,94134
37.7363217048233,-122.426636034456,94112
37.7389544381864,-122.410738548255,94110
37.7929570108581,-122.40237324027,94104
37.72259746372,-122.46730776509,94127
37.7765901274272,-122.406839088047,94103
37.7488150351982,-122.465642589697,94116
37.7165823567765,-122.451156677724,94112
37.7693967099165,-122.451288061231,94117
37.7791319631179,-122.397543611077,94107
37.8010088772343,-122.408525550028,94133
37.7788308416362,-122.437284868176,94115
37.7310406648491,-122.490085442773,94132
37.780794528052,-122.472047917833,94118
37.7352681469084,-122.472715759631,94116
37.7830189318905,-122.463902072852,94118
37.726122704585,-122.482299926848,94132
37.7706747388006,-122.399722910957,94158
37.8012735148407,-122.406364392147,94133
37.8023291245693,-122.423914356158,94109
37.7849352975007,-122.481927950534,94121
37.7340734464505,-122.406625193766,94134
37.7743688013879,-122.487015483195,94121
37.734027084799,-122.430384659682,94112
37.7844598547658,-122.448353764649,94118
37.7615896432508,-122.480756596201,94122
37.7792959490551,-122.388871426295,94107
37.7120147227325,-122.445301042421,94112
37.766937029292,-122.415464372882,94103
37.7236893340491,-122.408529516763,94134
37.756832949105,-122.502447767398,94122
37.749297233429,-122.427200827942,94114
37.7906117203859,-122.393413306082,94105
37.7612864224736,-122.507132523226,94122
37.7741354532801,-122.421572563496,94102
37.7626237566067,-122.420903157064,94110
37.7978065238036,-122.399689412693,94111
37.769156925928,-122.42340724973,94103
37.7986923562295,-122.420635052159,94109
37.7139431705565,-122.436599934776,94112
37.7258016599379,-122.457628148207,94112
37.7900647312854,-122.402425839433,94104
37.7675080444155,-122.419077865654,94103
37.7709327759985,-122.430282421772,94117
37.7589197325651,-122.441599324595,94114
37.7509609204418,-122.426251087153,94114
37.7525722462226,-122.412997488068,94110
37.7361956169585,-122.388998014115,94124
37.7438383925972,-122.424385257174,94131
37.7206994601174,-122.465305223392,94132
37.7352317219373,-122.416723536224,94110
37.7787992829472,-122.470566332254,94118
37.7566305834521,-122.395106891925,94107
37.7207101681114,-122.430765223911,94112
37.7628776667056,-122.419528998826,94110
37.7461061806967,-122.454664863059,94127
37.7249502487965,-122.461208520587,94112
37.7299735987242,-122.392065177137,94124
37.7716214083281,-122.5061625136,94121
37.7930631340888,-122.44402258544,94115
37.7605301374761,-122.462320150447,94122
37.749006213509,-122.407891668991,94110
37.7098635927288,-122.449729173956,94112
37.7331081088176,-122.452315460246,94127
37.7728240162683,-122.415315348489,94103
37.7820240646528,-122.423946508254,94109
37.7482445333269,-122.43813622199,94114
37.7890558876736,-122.428878902684,94115
37.7635175983002,-122.419004027906,94110
37.7504922364404,-122.427385017637,94114
37.7138096737124,-122.412020681673,94134
37.7793073131275,-122.437732503409,94115
37.7323428387283,-122.422747461693,94112
37.786410584846,-122.402331679146,94103
37.7707076800706,-122.430168303807,94117
37.7365376897978,-122.41470778455,94110
37.7400554520652,-122.434059269325,94131
37.7809595687701,-122.417116835072,94102
37.7199324510167,-122.450530504342,94112
37.7341197781287,-122.441938903824,94131
37.7442674207937,-122.411358467716,94110
37.7792747452913,-122.396497366494,94107
37.798069360826,-122.434861756172,94123
37.7416173895226,-122.419873945266,94110
37.7502715391981,-122.410801868648,94110
37.7135422175169,-122.405839285503,94134
37.8043530377956,-122.437535893404,94123
37.7525876241889,-122.464507573552,94116
37.7726267216719,-122.419987275,94103
37.7960130275894,-122.406296798018,94108
37.7233932851873,-122.401771055489,94134
37.800456647081,-122.401432754729,94111
37.753213275838,-122.44144545659,94114
37.7766012606812,-122.508194031117,94121
37.7896743710196,-122.449860132868,94118
37.7677915121484,-122.449192056455,94117
37.7620588660578,-122.439836029253,94114
37.7951450868486,-122.406478762416,94108
37.7641921009332,-122.412296739398,94110
37.7179979953375,-122.429531287536,94112
37.7240676313572,-122.389966248584,94124
37.7332186688934,-122.42375710134,94112
37.7794687811179,-122.458252345826,94118
37.8016356542782,-122.411180707476,94133
37.7822226458536,-122.398882384128,94107
37.7461326406038,-122.455104916099,94127
37.7286789215748,-122.460815801743,94112
37.7892242058501,-122.408597386684,94102
37.8009704319333,-122.403510612202,94133
37.7222245958427,-122.469477091945,94127
37.7101106071867,-122.40958470954,94134
37.7786230948336,-122.473277554641,94118
37.7481391855023,-122.462640289155,94116
37.7808215195192,-122.468564162408,94118
37.778500226754,-122.396845266741,94107
37.7315493845227,-122.408709213605,94134
37.743397151647,-122.467295994625,94127
37.7349940240885,-122.428538553718,94112
37.7807018119158,-122.395067626923,94107
37.7698682392455,-122.422367409563,94103
37.7394390485787,-122.429137851217,94131
37.7543612746695,-122.405968218086,94110
37.7993894899286,-122.447468395963,94129
37.7955271812127,-122.425060233192,94109
37.7803538002149,-122.421995088766,94102
37.7781662130453,-122.431739067403,94117
37.7555861523248,-122.466725773763,94122
37.7564864109309,-122.406539115148,94110
37.7671355316905,-122.437743158137,94114
37.7295030996194,-122.394705887797,94124
37.7536422594771,-122.488800223843,94122
37.7902856728874,-122.403937958614,94108
37.7687284236922,-122.449453600723,94117
37.7478289152724,-122.42476882497,94131
37.7332475245774,-122.471655076776,94127
37.7380160809952,-122.389813338224,94124
37.7318485574064,-122.468743774328,94127
37.749320508966,-122.481572948822,94116
37.7938241683497,-122.434759932887,94115
37.7653988057984,-122.478325183799,94122
37.7360828257587,-122.428751392232,94131
37.76701047078,-122.422020137013,94103
37.7961591607704,-122.409233536646,94133
37.79436348683,-122.423310664545,94109
37.7149403429704,-122.437804110635,94112
37.7492180428186,-122.506766906938,94116
37.7367416338184,-122.389877486888,94124
37.7555901594439,-122.417118050434,94110
37.7698302456314,-122.403039907328,94107
37.7876109394648,-122.41420144235,94109
37.7720245149608,-122.388255494514,94158
37.7288417652103,-122.417207846641,94134
37.7142805655028,-122.469796495789,94132
37.7270567643689,-122.460557237752,94112
37.7165768595181,-122.445177683701,94112
37.7216263690748,-122.43864240112,94112
37.764882969949,-122.411460509414,94110
37.7657802707763,-122.46965347183,94122
37.7342583839808,-122.440226342186,94131
37.7425827760769,-122.506760826679,94116
37.7307343941157,-122.435687675773,94112
37.7371699446203,-122.389865610332,94124
37.7876500488633,-122.428528443658,94115
